,name,date_of_emergence_min,adults_id,well_number,larviposition_id,larviposition_date,larviposition_number,weekend,abortion_stage,abortion,wet_weight,pupa_length,pupa_width,emerged,date_emerged,date_of_death,weekend_death,sex,treatment,weight_emerged,dry_weight,residual_dry_weight,mAgeDays,fat,mAgeBins,pred1,pred2
1096,Control,27/07/2018,52,e4,1104,11/10/2018,6,0,0,0,34.7,6.08,3.5,1,12/11/2018,21/11/2018,0,m,measurment and emergence,34.7,NA,NA,76,NA,72,35.24613904,36.59845928
1097,Control,27/07/2018,71,f11,1105,11/10/2018,6,0,0,0,34.7,NA,NA,0,NA,NA,0,NA,fat analysis,34.7,13.1,7.9,76,5.2,72,35.24613904,37.23753859
1108,Control,27/07/2018,10,a10,1116,12/10/2018,6,0,0,0,36.1,NA,NA,0,NA,NA,0,NA,fat analysis,36.1,13.8,8.6,77,5.2,72,35.1520365,34.12656649
1110,Control,27/07/2018,42,d6,1118,12/10/2018,6,0,0,0,38.4,NA,NA,0,NA,NA,0,NA,fat analysis,38.4,14.9,9.7,77,5.2,72,35.1520365,37.38314946
1111,Control,27/07/2018,59,e11,1119,12/10/2018,6,0,0,0,36.8,NA,NA,0,NA,NA,0,NA,fat analysis,36.8,NA,NA,77,NA,72,35.1520365,35.64242669
1112,Control,27/07/2018,96,h12,1120,12/10/2018,6,0,0,0,38.4,NA,NA,0,NA,NA,0,NA,fat analysis,38.4,14.8,9.2,77,5.6,72,35.1520365,36.3071956
1124,Control,27/07/2018,1,a1,1132,13/10/2018,6,1,0,0,33,NA,NA,1,12/11/2018,21/11/2018,0,f,emergence only,33,NA,NA,78,NA,82,35.04990684,32.31697928
1125,Control,27/07/2018,18,b6,1133,13/10/2018,6,1,0,0,35,NA,NA,1,12/11/2018,22/11/2018,0,f,emergence only,35,NA,NA,78,NA,82,35.04990684,36.02848896
1126,Control,27/07/2018,19,b7,1134,15/10/2018,6,1,0,0,35.7,NA,NA,0,NA,NA,0,NA,fat analysis,35.7,13.1,8.9,80,4.2,82,34.82156619,33.54449778
1127,Control,27/07/2018,20,b8,1135,15/10/2018,6,1,0,0,31.7,NA,NA,1,19/11/2018,26/11/2018,1,m,emergence only,31.7,NA,NA,80,NA,82,34.82156619,32.96177724
1128,Control,27/07/2018,39,d3,1136,15/10/2018,4,1,0,0,35.6,6.27,3.51,1,19/11/2018,27/11/2018,0,m,measurment and emergence,35.6,NA,NA,80,NA,82,34.82156619,34.62128191
1129,Control,27/07/2018,40,d4,1137,15/10/2018,6,1,0,0,38.8,6.07,3.71,1,19/11/2018,27/11/2018,0,m,measurment and emergence,38.8,NA,NA,80,NA,82,34.82156619,36.72624138
1130,Control,27/07/2018,44,d8,1138,14/10/2018,6,1,0,0,39.7,6.47,3.57,1,15/11/2018,26/11/2018,1,m,measurment and emergence,39.7,NA,NA,79,NA,82,34.93975007,36.01489506
1131,Control,27/07/2018,58,e10,1139,13/10/2018,6,1,0,0,35.3,6.03,3.71,1,13/11/2018,20/11/2018,0,f,measurment and emergence,35.3,NA,NA,78,NA,82,35.04990684,37.10188039
1132,Control,27/07/2018,60,e12,1140,15/10/2018,6,1,0,0,38.3,NA,NA,1,14/11/2018,26/11/2018,1,f,emergence only,38.3,NA,NA,80,NA,82,34.82156619,34.26827357
1133,Control,27/07/2018,95,h11,1141,15/10/2018,6,1,0,0,35.4,6.14,3.37,1,14/11/2018,26/11/2018,1,m,measurment and emergence,35.4,NA,NA,80,NA,82,34.82156619,34.61210399
1134,Control,27/07/2018,64,f4,1142,14/10/2018,6,1,0,0,34.1,6.2,3.53,1,13/11/2018,21/11/2018,0,f,measurment and emergence,34.1,NA,NA,79,NA,82,34.93975007,36.18891847
1135,Control,27/07/2018,75,g3,1143,14/10/2018,6,1,0,0,33.8,NA,NA,1,14/11/2018,23/11/2018,0,f,emergence only,33.8,NA,NA,79,NA,82,34.93975007,33.52121735
1136,Control,27/07/2018,78,g6,1144,13/10/2018,6,1,0,0,33.4,NA,NA,1,13/11/2018,23/11/2018,0,f,emergence only,33.4,NA,NA,78,NA,82,35.04990684,35.22576085
1137,Control,27/07/2018,80,g8,1145,14/10/2018,6,1,0,0,36,NA,NA,0,NA,NA,0,NA,fat analysis,36,12.2,8.7,79,3.5,82,34.93975007,35.12253703
1138,Control,27/07/2018,93,h9,1146,14/10/2018,6,1,0,0,21.1,NA,NA,1,14/11/2018,22/11/2018,0,m,emergence only,21.1,NA,NA,79,NA,82,34.93975007,31.08960933
1139,Control,27/07/2018,94,h10,1147,15/10/2018,6,1,0,0,35.8,5.9,3.77,1,14/11/2018,26/11/2018,1,f,measurment and emergence,35.8,NA,NA,80,NA,82,34.82156619,35.29503569
1140,Control,27/07/2018,61,f1,1148,15/10/2018,6,1,0,0,31.6,5.95,3.38,1,14/11/2018,23/11/2018,0,f,measurment and emergence,31.6,NA,NA,80,NA,82,34.82156619,33.44664517
1141,Control,27/07/2018,23,b11,1149,14/10/2018,6,1,0,0,35,NA,NA,1,14/11/2018,26/11/2018,1,f,emergence only,35,NA,NA,79,NA,82,34.93975007,36.88624906
1169,Control,27/07/2018,66,f6,1177,15/10/2018,6,1,0,0,35.6,NA,NA,1,14/11/2018,26/11/2018,1,f,emergence only,35.6,NA,NA,80,NA,82,34.82156619,33.76237996
1174,Control,27/07/2018,12,a12,1182,16/10/2018,7,0,0,0,35.4,NA,NA,0,NA,NA,0,NA,fat analysis,35.4,12.1,7.8,81,4.3,82,34.6953552,35.23513865
