Date,Tray,check,U_count,A_count,P_count,G_total,Mg_avg
18/07/12,11,-1,NA,NA,NA,NA,NA
18/07/12,10,-1,0,0,0,NA,NA
18/07/12,9,-1,0,0,27,0.64,23.52
18/07/12,8,-1,0,4,58,1.51,26.08
18/07/12,7,-1,0,0,68,1.8,26.47
18/07/12,6,-1,0,1,48,1.27,26.49
18/07/12,5,-1,0,0,59,1.63,27.57
18/07/12,4,-1,0,4,109,2.91,26.75
18/07/12,3,-1,3,3,53,1.51,28.47
18/07/12,2,-1,1,2,49,1.28,26.12
18/07/12,1,-1,0,0,23,0.55,23.93
20/07/12,12,11,NA,NA,NA,NA,NA
20/07/12,11,-1,NA,NA,NA,NA,NA
20/07/12,10,-1,0,0,0,NA,NA
20/07/12,9,-1,0,0,35,0.89,25.43
20/07/12,8,-1,2,5,112,2.8,25.5
20/07/12,7,-1,0,0,120,3.25,27.08
20/07/12,6,-1,0,0,179,4.92,27.49
20/07/12,5,-1,0,0,164,4.63,28.23
20/07/12,4,-1,0,0,123,3.2,26.02
20/07/12,3,-1,5,6,83,1.86,22.41
20/07/12,2,-1,2,3,117,2.97,25.38
20/07/12,1,-1,0,0,122,3.26,26.8
23/07/12,12,11,NA,NA,NA,NA,NA
23/07/12,11,-1,NA,NA,NA,NA,NA
23/07/12,10,-1,NA,NA,1,NA,24.9
23/07/12,9,-1,NA,NA,118,1.96,16.63
23/07/12,8,-1,NA,NA,143,3.61,25.28
23/07/12,7,-1,NA,NA,176,4.87,27.68
23/07/12,6,-1,NA,NA,147,4.14,28.21
23/07/12,5,-1,NA,NA,156,4.81,30.85
23/07/12,4,-1,NA,2,147,4.22,28.73
23/07/12,3,-1,NA,NA,159,4.71,29.64
23/07/12,2,-1,NA,2,147,4.17,28.39
23/07/12,1,-1,NA,NA,132,3.22,24.39
25/07/12,12,11,NA,NA,NA,NA,NA
25/07/12,11,-1,0,0,0,NA,NA
25/07/12,10,-1,0,0,0,NA,NA
25/07/12,9,-1,0,3,6,0.14,23.37
25/07/12,8,-1,0,10,42,1.08,25.7
25/07/12,7,-1,2,3,64,1.76,27.5
25/07/12,6,-1,2,6,54,1.42,26.29
25/07/12,5,-1,2,3,54,NA,25.92
25/07/12,4,-1,1,1,61,1.71,28.03
25/07/12,3,-1,1,3,54,1.53,28.37
25/07/12,2,-1,1,6,41,1.2,29.3
25/07/12,1,-1,3,12,52,1.36,26.15
27/07/12,12,11,NA,NA,NA,NA,NA
27/07/12,11,-1,NA,NA,NA,NA,NA
27/07/12,10,-1,NA,NA,NA,NA,NA
27/07/12,9,-1,1,0,82,1.99,24.23
27/07/12,8,-1,6,3,86,2.14,24.88
27/07/12,7,-1,5,0,178,4.99,28.07
27/07/12,6,-1,5,2,165,4.43,26.87
27/07/12,5,-1,6,4,123,3.47,28.28
27/07/12,4,-1,9,1,110,3.02,27.45
27/07/12,3,-1,5,2,103,2.85,27.7
27/07/12,2,-1,10,2,138,3.64,26.45
27/07/12,1,-1,19,5,121,3.16,26.17
30/07/12,12,11,NA,NA,NA,NA,NA
30/07/12,11,-1,NA,NA,NA,NA,NA
30/07/12,10,-1,0,0,0,NA,NA
30/07/12,9,-1,7,3,170,4.38,25.77
30/07/12,8,-1,4,2,139,3.36,24.21
30/07/12,7,-1,6,5,119,3.17,26.62
30/07/12,6,-1,5,3,121,3.4,28.13
30/07/12,5,-1,9,2,104,2.81,27.06
30/07/12,4,-1,12,6,165,4.67,28.32
30/07/12,3,-1,4,3,133,3.85,28.95
30/07/12,2,-1,3,6,117,3.22,27.51
30/07/12,1,-1,11,7,94,2.55,27.16
01/08/12,12,11,NA,NA,NA,NA,NA
01/08/12,11,-1,NA,NA,NA,NA,NA
01/08/12,10,-1,0,0,0,NA,NA
01/08/12,9,-1,2,1,44,1.1,25
01/08/12,8,-1,1,4,69,1.87,27.1
01/08/12,7,-1,2,8,70,1.9,27.14
01/08/12,6,-1,1,4,79,2.11,26.71
01/08/12,5,-1,1,2,80,2.15,26.88
01/08/12,4,-1,2,7,84,2.34,27.86
01/08/12,3,-1,2,7,88,2.48,28.18
01/08/12,2,-1,4,4,45,1.23,27.33
01/08/12,1,-1,1,10,74,1.96,26.49
03/08/12,12,11,NA,NA,NA,NA,NA
03/08/12,11,-1,NA,NA,NA,NA,NA
03/08/12,10,-1,0,0,0,NA,NA
03/08/12,9,-1,0,0,6,NA,NA
03/08/12,8,-1,1,1,50,NA,NA
03/08/12,7,-1,2,2,79,2.11,26.71
03/08/12,6,-1,2,1,104,2.7,25.96
03/08/12,5,-1,2,1,108,3.03,28.05
03/08/12,4,-1,2,3,124,3.37,27.18
03/08/12,3,-1,1,6,67,1.8,NA
03/08/12,2,-1,1,5,97,2.7,27.84
03/08/12,1,-1,NA,NA,162,4.33,26.73
06/08/12,12,11,NA,NA,NA,NA,NA
06/08/12,11,-1,NA,NA,NA,NA,NA
06/08/12,10,-1,0,0,0,NA,NA
06/08/12,9,-1,0,2,154,4.05,26.3
06/08/12,8,-1,2,3,152,4.06,26.71
06/08/12,7,-1,1,4,126,3.5,27.78
06/08/12,6,-1,2,5,149,4.08,27.38
06/08/12,5,-1,1,1,158,4.35,27.53
